length,quantity,year_class,Block
4,0,year0,Gwendraeth
5,0,year0,Gwendraeth
6,102,year0,Gwendraeth
7,941,year0,Gwendraeth
8,245,year0,Gwendraeth
9,348,year0,Gwendraeth
10,205,year0,Gwendraeth
11,82,year0,Gwendraeth
12,61,year0,Gwendraeth
13,102,year0,Gwendraeth
14,0,year0,Gwendraeth
15,0,year0,Gwendraeth
16,0,year0,Gwendraeth
17,0,year0,Gwendraeth
18,0,year0,Gwendraeth
19,0,year0,Gwendraeth
20,0,year0,Gwendraeth
21,0,year0,Gwendraeth
22,0,year0,Gwendraeth
23,0,year0,Gwendraeth
24,0,year0,Gwendraeth
25,0,year0,Gwendraeth
26,0,year0,Gwendraeth
27,0,year0,Gwendraeth
28,0,year0,Gwendraeth
29,0,year0,Gwendraeth
30,0,year0,Gwendraeth
31,0,year0,Gwendraeth
32,0,year0,Gwendraeth
33,0,year0,Gwendraeth
34,0,year0,Gwendraeth
35,0,year0,Gwendraeth
36,0,year0,Gwendraeth
37,0,year0,Gwendraeth
38,0,year0,Gwendraeth
39,0,year0,Gwendraeth
40,0,year0,Gwendraeth
41,0,year0,Gwendraeth
42,0,year0,Gwendraeth
43,0,year0,Gwendraeth
44,0,year0,Gwendraeth
45,0,year0,Gwendraeth
46,0,year0,Gwendraeth
47,0,year0,Gwendraeth
48,0,year0,Gwendraeth
49,0,year0,Gwendraeth
50,0,year0,Gwendraeth
4,0,year1,Gwendraeth
5,0,year1,Gwendraeth
6,0,year1,Gwendraeth
7,0,year1,Gwendraeth
8,0,year1,Gwendraeth
9,0,year1,Gwendraeth
10,0,year1,Gwendraeth
11,0,year1,Gwendraeth
12,0,year1,Gwendraeth
13,0,year1,Gwendraeth
14,0,year1,Gwendraeth
15,0,year1,Gwendraeth
16,3,year1,Gwendraeth
17,10,year1,Gwendraeth
18,26,year1,Gwendraeth
19,43,year1,Gwendraeth
20,56,year1,Gwendraeth
21,24,year1,Gwendraeth
22,12,year1,Gwendraeth
23,2,year1,Gwendraeth
24,0,year1,Gwendraeth
25,0,year1,Gwendraeth
26,0,year1,Gwendraeth
27,0,year1,Gwendraeth
28,0,year1,Gwendraeth
29,0,year1,Gwendraeth
30,0,year1,Gwendraeth
31,0,year1,Gwendraeth
32,0,year1,Gwendraeth
33,0,year1,Gwendraeth
